"Site" "ss_data" "size"
"239" "Pinasil" "0" -3.8
"240" "Pinasil" "0" -3.7
"241" "Pinasil" "0" -3.6
"242" "Pinasil" "0" -3.5
"243" "Pinasil" "0" -3.4
"244" "Pinasil" "0" -3.3
"245" "Pinasil" "0" -3.2
"246" "Pinasil" "0" -3.1
"247" "Pinasil" "0" -3
"248" "Pinasil" "0" -2.9
"249" "Pinasil" "0" -2.8
"250" "Pinasil" "0" -2.7
"251" "Pinasil" "0" -2.6
"252" "Pinasil" "0" -2.5
"253" "Pinasil" "0" -2.4
"254" "Pinasil" "0" -2.3
"255" "Pinasil" "0" -2.2
"256" "Pinasil" "0" -2.1
"257" "Pinasil" "0" -2
"258" "Pinasil" "0" -1.9
"259" "Pinasil" "0" -1.8
"260" "Pinasil" "0" -1.7
"261" "Pinasil" "0" -1.6
"262" "Pinasil" "10" -1.5
"263" "Pinasil" "9.67641092232001" -1.4
"264" "Pinasil" "9.36213658570249" -1.3
"265" "Pinasil" "9.05679998026559" -1.2
"266" "Pinasil" "8.76002824714929" -1.1
"267" "Pinasil" "8.47145193058733" -1
"268" "Pinasil" "8.19070422800913" -0.899999999999999
"269" "Pinasil" "7.91742024413599" -0.799999999999999
"270" "Pinasil" "7.65123625734593" -0.699999999999999
"271" "Pinasil" "7.3917890094693" -0.6
"272" "Pinasil" "7.13871503376917" -0.5
"273" "Pinasil" "6.89165004027409" -0.399999999999999
"274" "Pinasil" "6.65022838303871" -0.299999999999999
"275" "Pinasil" "6.41408264044881" -0.199999999999999
"276" "Pinasil" "6.18284334755814" -0.0999999999999996
"277" "Pinasil" "5.95613892878824" 0
"278" "Pinasil" "5.73359589030303" 0.100000000000001
"279" "Pinasil" "5.51483934407457" 0.200000000000001
"280" "Pinasil" "5.29949395010177" 0.300000000000001
"281" "Pinasil" "5.08718537929968" 0.4
"282" "Pinasil" "4.87754241688032" 0.5
"283" "Pinasil" "4.670199843936" 0.600000000000001
"284" "Pinasil" "4.46480225224807" 0.700000000000001
"285" "Pinasil" "4.26100896230677" 0.800000000000001
"286" "Pinasil" "4.05850022449809" 0.9
"287" "Pinasil" "3.85698488466469" 1
"288" "Pinasil" "3.65620968269354" 1.1
"289" "Pinasil" "0.932258419808715" 1.2
"290" "Pinasil" "0.292466161409226" 1.3
"291" "Pinasil" "0.153580035752467" 1.4
"292" "Pinasil" "0.0988279980913422" 1.5
"293" "Pinasil" "0.0728491184251521" 1.6
"294" "Pinasil" "0.0620776670743639" 1.7
"295" "Pinasil" "0.0546283376753785" 1.8
"296" "Pinasil" "0.0274402858563903" 1.9
"297" "Pinasil" "0.0215558680506888" 2
"298" "Pinasil" "0.0175927575593577" 2.1
"299" "Pinasil" "0.0147083539412811" 2.2
"300" "Pinasil" "0.0107400584646609" 2.3
"301" "Pinasil" "0.00812440355542995" 2.4
"302" "Pinasil" "0.00689447476018186" 2.5
"303" "Pinasil" "0.00581513982197113" 2.6
"304" "Pinasil" "0.00483566540259568" 2.7
"305" "Pinasil" "0.00383481082413509" 2.8
"306" "Pinasil" "0.00298956949202392" 2.9
"307" "Pinasil" "0.00228591790966498" 3
"308" "Pinasil" "0.00171008888172322" 3.1
"309" "Pinasil" "0.00124829604132577" 3.2
"310" "Pinasil" "0.000886580496037825" 3.3
"311" "Pinasil" "0.000610829508932918" 3.4
"312" "Pinasil" "0.00040698359416881" 3.5
"313" "Tres_Marias" "0" -12
"314" "Tres_Marias" "0" -11.9
"315" "Tres_Marias" "0" -11.8
"316" "Tres_Marias" "0" -11.7
"317" "Tres_Marias" "0" -11.6
"318" "Tres_Marias" "0" -11.5
"319" "Tres_Marias" "0" -11.4
"320" "Tres_Marias" "0" -11.3
"321" "Tres_Marias" "0" -11.2
"322" "Tres_Marias" "0" -11.1
"323" "Tres_Marias" "0" -11
"324" "Tres_Marias" "0" -10.9
"325" "Tres_Marias" "0" -10.8
"326" "Tres_Marias" "0" -10.7
"327" "Tres_Marias" "0" -10.6
"328" "Tres_Marias" "0" -10.5
"329" "Tres_Marias" "0" -10.4
"330" "Tres_Marias" "0" -10.3
"331" "Tres_Marias" "0" -10.2
"332" "Tres_Marias" "0" -10.1
"333" "Tres_Marias" "0" -10
"334" "Tres_Marias" "0" -9.9
"335" "Tres_Marias" "0" -9.8
"336" "Tres_Marias" "0" -9.7
"337" "Tres_Marias" "0" -9.6
"338" "Tres_Marias" "0" -9.5
"339" "Tres_Marias" "0" -9.4
"340" "Tres_Marias" "0" -9.3
"341" "Tres_Marias" "0" -9.2
"342" "Tres_Marias" "0" -9.1
"343" "Tres_Marias" "0" -9
"344" "Tres_Marias" "0" -8.9
"345" "Tres_Marias" "0" -8.8
"346" "Tres_Marias" "0" -8.7
"347" "Tres_Marias" "0" -8.6
"348" "Tres_Marias" "0" -8.5
"349" "Tres_Marias" "0" -8.4
"350" "Tres_Marias" "0" -8.3
"351" "Tres_Marias" "0" -8.2
"352" "Tres_Marias" "0" -8.1
"353" "Tres_Marias" "0" -8
"354" "Tres_Marias" "0" -7.9
"355" "Tres_Marias" "0" -7.8
"356" "Tres_Marias" "0" -7.7
"357" "Tres_Marias" "0" -7.6
"358" "Tres_Marias" "0" -7.5
"359" "Tres_Marias" "0" -7.4
"360" "Tres_Marias" "0" -7.3
"361" "Tres_Marias" "0" -7.2
"362" "Tres_Marias" "0" -7.1
"363" "Tres_Marias" "0" -7
"364" "Tres_Marias" "0" -6.9
"365" "Tres_Marias" "0" -6.8
"366" "Tres_Marias" "0" -6.7
"367" "Tres_Marias" "0" -6.6
"368" "Tres_Marias" "0" -6.5
"369" "Tres_Marias" "0" -6.4
"370" "Tres_Marias" "0" -6.3
"371" "Tres_Marias" "0" -6.2
"372" "Tres_Marias" "0" -6.1
"373" "Tres_Marias" "0" -6
"374" "Tres_Marias" "0" -5.9
"375" "Tres_Marias" "0" -5.8
"376" "Tres_Marias" "0" -5.7
"377" "Tres_Marias" "0" -5.6
"378" "Tres_Marias" "0" -5.5
"379" "Tres_Marias" "0" -5.4
"380" "Tres_Marias" "0" -5.3
"381" "Tres_Marias" "0" -5.2
"382" "Tres_Marias" "0" -5.1
"383" "Tres_Marias" "0" -5
"384" "Tres_Marias" "0" -4.9
"385" "Tres_Marias" "0" -4.8
"386" "Tres_Marias" "0" -4.7
"387" "Tres_Marias" "0" -4.6
"388" "Tres_Marias" "0" -4.5
"389" "Tres_Marias" "0" -4.4
"390" "Tres_Marias" "0" -4.3
"391" "Tres_Marias" "0" -4.2
"392" "Tres_Marias" "0" -4.1
"393" "Tres_Marias" "0" -4
"394" "Tres_Marias" "0" -3.9
"395" "Tres_Marias" "0" -3.8
"396" "Tres_Marias" "0" -3.7
"397" "Tres_Marias" "0" -3.6
"398" "Tres_Marias" "0" -3.5
"399" "Tres_Marias" "0" -3.4
"400" "Tres_Marias" "0" -3.3
"401" "Tres_Marias" "0" -3.2
"402" "Tres_Marias" "0" -3.1
"403" "Tres_Marias" "0" -3
"404" "Tres_Marias" "0" -2.9
"405" "Tres_Marias" "0" -2.8
"406" "Tres_Marias" "0" -2.7
"407" "Tres_Marias" "0" -2.6
"408" "Tres_Marias" "0" -2.5
"409" "Tres_Marias" "0" -2.4
"410" "Tres_Marias" "0" -2.3
"411" "Tres_Marias" "0" -2.2
"412" "Tres_Marias" "0" -2.1
"413" "Tres_Marias" "0" -2
"414" "Tres_Marias" "0" -1.9
"415" "Tres_Marias" "0" -1.8
"416" "Tres_Marias" "0" -1.7
"417" "Tres_Marias" "0" -1.6
"418" "Tres_Marias" "10" -1.5
"419" "Tres_Marias" "7.51598256768842" -1.4
"420" "Tres_Marias" "5.893175738038" -1.3
"421" "Tres_Marias" "4.88418013840379" -1.2
"422" "Tres_Marias" "4.29366760701383" -1.1
"423" "Tres_Marias" "3.9773006935868" -1
"424" "Tres_Marias" "3.83321281604008" -0.899999999999999
"425" "Tres_Marias" "3.7916384698761" -0.799999999999999
"426" "Tres_Marias" "3.80009059070416" -0.699999999999999
"427" "Tres_Marias" "3.8078617752461" -0.6
"428" "Tres_Marias" "3.81485328493826" -0.5
"429" "Tres_Marias" "3.82095339916207" -0.399999999999999
"430" "Tres_Marias" "3.82603583218739" -0.299999999999999
"431" "Tres_Marias" "3.82995799309005" -0.199999999999999
"432" "Tres_Marias" "3.83255908435312" -0.0999999999999996
"433" "Tres_Marias" "3.83365803897271" 0
"434" "Tres_Marias" "3.83305130175838" 0.100000000000001
"435" "Tres_Marias" "3.8305104686448" 0.200000000000001
"436" "Tres_Marias" "3.82577980883952" 0.300000000000001
"437" "Tres_Marias" "3.81857370924832" 0.4
"438" "Tres_Marias" "3.80857409970924" 0.5
"439" "Tres_Marias" "1.83556741154455" 0.600000000000001
"440" "Tres_Marias" "1.09866726136207" 0.700000000000001
"441" "Tres_Marias" "0.803227630072489" 0.800000000000001
"442" "Tres_Marias" "0.670854006324171" 0.9
"443" "Tres_Marias" "0.600588029249442" 1
"444" "Tres_Marias" "0.554391375954708" 1.1
"445" "Tres_Marias" "0.517696942595035" 1.2
"446" "Tres_Marias" "0.48502850575064" 1.3
"447" "Tres_Marias" "0.454485042913234" 1.4
"448" "Tres_Marias" "0.254498837661953" 1.5
"449" "Tres_Marias" "0.168289531845366" 1.6
"450" "Tres_Marias" "0.12703440855053" 1.7
"451" "Tres_Marias" "0.104764363898229" 1.8
"452" "Tres_Marias" "0.0911149240257905" 1.9
"453" "Tres_Marias" "0.0656813120901217" 2
"454" "Tres_Marias" "0.0515941256252891" 2.1
"455" "Tres_Marias" "0.0429977295590298" 2.2
"456" "Tres_Marias" "0.0372355381593142" 2.3
