"Site" "refs" "size"
"324" "Tres_Marias" "1" -10.9
"325" "Tres_Marias" "1" -10.8
"326" "Tres_Marias" "1" -10.7
"327" "Tres_Marias" "1" -10.6
"328" "Tres_Marias" "1" -10.5
"329" "Tres_Marias" "1" -10.4
"330" "Tres_Marias" "1" -10.3
"331" "Tres_Marias" "1" -10.2
"332" "Tres_Marias" "1" -10.1
"333" "Tres_Marias" "1" -10
"334" "Tres_Marias" "1" -9.9
"335" "Tres_Marias" "1" -9.8
"336" "Tres_Marias" "1" -9.7
"337" "Tres_Marias" "1" -9.6
"338" "Tres_Marias" "1" -9.5
"339" "Tres_Marias" "1" -9.4
"340" "Tres_Marias" "1" -9.3
"341" "Tres_Marias" "1" -9.2
"342" "Tres_Marias" "1" -9.1
"343" "Tres_Marias" "1" -9
"344" "Tres_Marias" "1" -8.9
"345" "Tres_Marias" "1" -8.8
"346" "Tres_Marias" "1" -8.7
"347" "Tres_Marias" "1" -8.6
"348" "Tres_Marias" "1" -8.5
"349" "Tres_Marias" "1" -8.4
"350" "Tres_Marias" "1" -8.3
"351" "Tres_Marias" "1" -8.2
"352" "Tres_Marias" "1" -8.1
"353" "Tres_Marias" "1" -8
"354" "Tres_Marias" "1" -7.9
"355" "Tres_Marias" "1" -7.8
"356" "Tres_Marias" "1" -7.7
"357" "Tres_Marias" "1" -7.6
"358" "Tres_Marias" "1" -7.5
"359" "Tres_Marias" "1" -7.4
"360" "Tres_Marias" "1" -7.3
"361" "Tres_Marias" "1" -7.2
"362" "Tres_Marias" "1" -7.1
"363" "Tres_Marias" "1" -7
"364" "Tres_Marias" "1" -6.9
"365" "Tres_Marias" "1" -6.8
"366" "Tres_Marias" "1" -6.7
"367" "Tres_Marias" "1" -6.6
"368" "Tres_Marias" "1" -6.5
"369" "Tres_Marias" "1" -6.4
"370" "Tres_Marias" "1" -6.3
"371" "Tres_Marias" "1" -6.2
"372" "Tres_Marias" "1" -6.1
"373" "Tres_Marias" "1" -6
"374" "Tres_Marias" "1" -5.9
"375" "Tres_Marias" "1" -5.8
"376" "Tres_Marias" "1" -5.7
"377" "Tres_Marias" "1" -5.6
"378" "Tres_Marias" "1" -5.5
"379" "Tres_Marias" "1" -5.4
"380" "Tres_Marias" "1" -5.3
"381" "Tres_Marias" "1" -5.2
